Дата,Сумма
2024-01-19,90931.93
2024-01-19,72173.21
2024-01-19,32575.14
2024-01-20,44018.62
2024-01-27,6636.57
2024-01-08,43955.53
2024-01-09,1123.19
2024-01-26,49704
2024-01-05,56659.33
2024-01-08,12521.52
2024-01-09,38139.17
2024-01-02,553.78
2024-01-27,45038.72
2024-01-20,92435.94
2024-01-09,36229.86
2024-01-18,88065.53
2024-01-10,75358.41
2024-01-17,76896.85
2024-01-21,7282.72
2024-01-01,50385.62
2024-01-15,14159.79
2024-01-15,71683.34
2024-01-23,76979.43
2024-01-20,1091.38
2024-01-08,89718.66
2024-01-18,75190.9
2024-01-22,73559.47
2024-01-19,19253.62
2024-01-14,37110.07
2024-01-04,84115.26
2024-01-22,76287.02
2024-01-26,20109.45
2024-01-01,52767.57
2024-01-13,10280.19
2024-01-14,92128.7
2024-01-06,75680.2
2024-01-24,89353.53
2024-01-03,33715.38
2024-01-15,28593.29
2024-01-10,21278.48
2024-01-29,76512.82
2024-01-22,62476.61
2024-01-04,71936.47
2024-01-01,92619.95
2024-01-11,28649.66
2024-01-15,30567.96
2024-01-21,61452.92
2024-01-04,88891.13
2024-01-29,30387.44
2024-01-27,77104.22
2024-01-22,73111.71
2024-01-13,68989.92
2024-01-28,54573.72
2024-01-17,19533.11
2024-01-03,48344.84
2024-01-27,11172.34
2024-01-16,10629.98
2024-01-07,47087.67
2024-01-27,33059.52
2024-01-14,95798.36
2024-01-30,78647.37
2024-01-21,36645.86
2024-01-06,88143.72
2024-01-07,54511.86
2024-01-19,94055.85
2024-01-28,65111.96
2024-01-11,20739.76
2024-01-01,4289.25
2024-01-13,49825.45
2024-01-19,9338.78
2024-01-08,80710.1
2024-01-28,47944.66
2024-01-08,41264.6
2024-01-27,82092.81
2024-01-25,1508.12
2024-01-14,99685.34
2024-01-18,16074.45
2024-01-22,95403.19
2024-01-22,2415.35
2024-01-21,91978.34
2024-01-20,2120.19
2024-01-08,42030.77
2024-01-30,10822.49
2024-01-10,16716.73
2024-01-09,15125.96
2024-01-03,18779.49
2024-01-09,56453.17
2024-01-04,68613.2
2024-01-22,67178.27
2024-01-15,40537.11
2024-01-13,20764.73
2024-01-17,33795.85
2024-01-08,57653.94
2024-01-30,96234.15
2024-01-11,99907.05
2024-01-11,22457.7
2024-01-20,79559.41
2024-01-05,25582.81
2024-01-08,42441.96
2024-01-20,21194.78
2024-01-01,47450.92
2024-01-06,31726.01
2024-01-18,17111.71
2024-01-15,33221.58
2024-01-07,61914.53
2024-01-11,77071.25
2024-01-22,24975.63
2024-01-31,8242.58
